PROBE_ID	PROBE_TYPE	GENE_ID	GENE_TYPE	DESCRIPTION
C081	V2	ATCG00360	CDS	Encodes a protein required for photosystem I assembly and stability. In Chlamydomonas reinhardtii, this protein seems to act as a PSI specific chaperone facilitating the assembly of the complex by interacting with PsaA and PsaD. A loss of function mutation in tobacco leads to a loss of photosystem I.
C082	V1	no_gene		
C083	EV1	ATCG00370	tRNA	tRNA-Ser
C084	EV1	ATCG00380	CDS	Chloroplast encoded ribosomal protein S4
C085	EV1	ATCG00380	CDS	Chloroplast encoded ribosomal protein S4
C086	VE1	ATCG00390	tRNA	tRNA-Thr
C087	VE2	ATCG00390	tRNA	tRNA-Thr
C088	VE1	ATCG00400	tRNA	tRNA-Leu
C089	E1	ATCG00400	tRNA	tRNA-Leu
C090	VE2	ATCG00400	tRNA	tRNA-Leu
C091	VE1	ATCG00410	tRNA	chloroplast TRNF
C092	VE1	ATCG00410	tRNA	chloroplast TRNF
C093	EV1	ATCG00420	CDS	Encodes NADH dehydrogenase subunit J. Its transcription is increased upon sulfur depletion.
C094	M1	ATCG00420;ATCG00430	CDS;CDS	Encodes NADH dehydrogenase subunit J. Its transcription is increased upon sulfur depletion.;Encodes a protein which was originally thought to be part of photosystem II but its wheat homolog was later shown to encode for subunit K of NADH dehydrogenase.
C095	EV2	ATCG00430	CDS	Encodes a protein which was originally thought to be part of photosystem II but its wheat homolog was later shown to encode for subunit K of NADH dehydrogenase.
C096	M2	ATCG00430;ATCG00440	CDS;CDS	Encodes a protein which was originally thought to be part of photosystem II but its wheat homolog was later shown to encode for subunit K of NADH dehydrogenase.;Encodes NADH dehydrogenase D3 subunit of the chloroplast NAD(P)H dehydrogenase complex
C097	VE1	ATCG00440	CDS	Encodes NADH dehydrogenase D3 subunit of the chloroplast NAD(P)H dehydrogenase complex
C098	V1	no_gene		
C099	EV1	ATCG00450	tRNA	tRNA-Val
C100	EV1	ATCG00450	tRNA	tRNA-Val
C101	M1	ATCG00450;ATCG00460;ATCG00470	tRNA;tRNA;CDS	tRNA-Val;Chloroplast encoded tRNA-Met gene.;ATPase epsilon subunit
C102	M1	ATCG00470;ATCG00480	CDS;CDS	ATPase epsilon subunit;chloroplast-encoded gene for beta subunit of ATP synthase
C103	M2	ATCG00470;ATCG00480	CDS;CDS	ATPase epsilon subunit;chloroplast-encoded gene for beta subunit of ATP synthase
C104	E2	ATCG00480	CDS	chloroplast-encoded gene for beta subunit of ATP synthase
C105	EV1	ATCG00480	CDS	chloroplast-encoded gene for beta subunit of ATP synthase
C106	V2	no_gene		
C107	EV2	ATCG00490	CDS	large subunit of RUBISCO.
C108	E3	ATCG00490	CDS	large subunit of RUBISCO.
C109	EV1	ATCG00490	CDS	large subunit of RUBISCO.
C110	VE1	ATCG00500	CDS	Encodes the carboxytransferase beta subunit of the Acetyl-CoA carboxylase (ACCase) complex in plastids. This complex catalyzes the carboxylation of acetyl-CoA to produce malonyl-CoA, the first committed step in fatty acid synthesis.
C111	EV1	ATCG00500	CDS	Encodes the carboxytransferase beta subunit of the Acetyl-CoA carboxylase (ACCase) complex in plastids. This complex catalyzes the carboxylation of acetyl-CoA to produce malonyl-CoA, the first committed step in fatty acid synthesis.
C112	E1	ATCG00500	CDS	Encodes the carboxytransferase beta subunit of the Acetyl-CoA carboxylase (ACCase) complex in plastids. This complex catalyzes the carboxylation of acetyl-CoA to produce malonyl-CoA, the first committed step in fatty acid synthesis.
C113	VE1	ATCG00500	CDS	Encodes the carboxytransferase beta subunit of the Acetyl-CoA carboxylase (ACCase) complex in plastids. This complex catalyzes the carboxylation of acetyl-CoA to produce malonyl-CoA, the first committed step in fatty acid synthesis.
C114	V1	ATCG00510	CDS	Encodes subunit I of photosystem I.
C115	EV1	ATCG00510	CDS	Encodes subunit I of photosystem I.
C116	EV1	ATCG00520	CDS	Encodes a protein required for photosystem I assembly and stability. In cyanobacteria, loss of function mutation in this gene increases PSII/PSI ratio without any influence on photoautotrophic growth.
C117	EV1	ATCG00520	CDS	Encodes a protein required for photosystem I assembly and stability. In cyanobacteria, loss of function mutation in this gene increases PSII/PSI ratio without any influence on photoautotrophic growth.
C118	VE1	ATCG00530	CDS	hypothetical protein
C119	E1	ATCG00530	CDS	hypothetical protein
C120	M1	ATCG00530;ATCG00540	CDS;CDS	hypothetical protein;Encodes cytochrome f apoprotein, involved in photosynthetic electron transport chain, encoded by the chloroplast genome and is transcriptionally repressed by a nuclear gene HCF2.
C121	EV1	ATCG00540	CDS	Encodes cytochrome f apoprotein, involved in photosynthetic electron transport chain, encoded by the chloroplast genome and is transcriptionally repressed by a nuclear gene HCF2.
C122	E1	ATCG00540	CDS	Encodes cytochrome f apoprotein, involved in photosynthetic electron transport chain, encoded by the chloroplast genome and is transcriptionally repressed by a nuclear gene HCF2.
C123	VE1	ATCG00540	CDS	Encodes cytochrome f apoprotein, involved in photosynthetic electron transport chain, encoded by the chloroplast genome and is transcriptionally repressed by a nuclear gene HCF2.
C124	V2	ATCG00550	CDS	PSII component
C125	M1	ATCG00550;ATCG00560;ATCG00570	CDS;CDS;CDS	PSII component;PSII L protein;PSII cytochrome b559
C126	M1	ATCG00570;ATCG00580	CDS;CDS	PSII cytochrome b559;PSII cytochrome b559. There have been many speculations about the function of Cyt b559, but the most favored at present is that it plays a protective role by acting as an electron acceptor or electron donor under conditions when electron flow through PSII is not optimized.
C127	V1	ATCG00580	CDS	PSII cytochrome b559. There have been many speculations about the function of Cyt b559, but the most favored at present is that it plays a protective role by acting as an electron acceptor or electron donor under conditions when electron flow through PSII is not optimized.
C128	V1	no_gene		
C129	V2	no_gene		
C130	EV1	ATCG00590	CDS	hypothetical protein
C131	M1	ATCG00600;ATCG00610	CDS;tRNA	Cytochrome b6-f complex, subunit V. Disruption of homologous gene in Chlamydomonas results in disruption of cytochrome b6-f complex.;tRNA-Trp
C132	EV1	ATCG00620	tRNA	tRNA-Pro
C133	EV1	ATCG00630	CDS	Encodes subunit J of photosystem I.
C134	VE1	ATCG00640	CDS	encodes a chloroplast ribosomal protein L33, a constituent of the large subunit of the ribosomal complex
C135	EV1	ATCG00640	CDS	encodes a chloroplast ribosomal protein L33, a constituent of the large subunit of the ribosomal complex
C136	M1	ATCG00640;ATCG00650	CDS;CDS	encodes a chloroplast ribosomal protein L33, a constituent of the large subunit of the ribosomal complex;chloroplast-encoded ribosomal protein S18
C137	VE1	ATCG00650	CDS	chloroplast-encoded ribosomal protein S18
C138	EV1	ATCG00660	CDS	encodes a chloroplast ribosomal protein L20, a constituent of the large subunit of the ribosomal complex
C139	VE1	ATCG00660	CDS	encodes a chloroplast ribosomal protein L20, a constituent of the large subunit of the ribosomal complex
C140	VE1	ATCG00065	CDS	chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.
C141	M2	ATCG00065;ATCG00670	CDS;CDS	chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.;Encodes the only ClpP (caseinolytic protease) encoded within the plastid genome. Contains a highly conserved catalytic triad of Ser-type proteases (Ser-His-Asp). Part of the 350 kDa chloroplast Clp complex. The name reflects nomenclature described in Adam et. al (2001).
C142	IE2	ATCG00670	CDS	Encodes the only ClpP (caseinolytic protease) encoded within the plastid genome. Contains a highly conserved catalytic triad of Ser-type proteases (Ser-His-Asp). Part of the 350 kDa chloroplast Clp complex. The name reflects nomenclature described in Adam et. al (2001).
C143	IE1	ATCG00670	CDS	Encodes the only ClpP (caseinolytic protease) encoded within the plastid genome. Contains a highly conserved catalytic triad of Ser-type proteases (Ser-His-Asp). Part of the 350 kDa chloroplast Clp complex. The name reflects nomenclature described in Adam et. al (2001).
C144	IE1	ATCG00670	CDS	Encodes the only ClpP (caseinolytic protease) encoded within the plastid genome. Contains a highly conserved catalytic triad of Ser-type proteases (Ser-His-Asp). Part of the 350 kDa chloroplast Clp complex. The name reflects nomenclature described in Adam et. al (2001).
C145	I1	ATCG00670	CDS	Encodes the only ClpP (caseinolytic protease) encoded within the plastid genome. Contains a highly conserved catalytic triad of Ser-type proteases (Ser-His-Asp). Part of the 350 kDa chloroplast Clp complex. The name reflects nomenclature described in Adam et. al (2001).
C146	VE1	ATCG00670	CDS	Encodes the only ClpP (caseinolytic protease) encoded within the plastid genome. Contains a highly conserved catalytic triad of Ser-type proteases (Ser-His-Asp). Part of the 350 kDa chloroplast Clp complex. The name reflects nomenclature described in Adam et. al (2001).
C147	VE1	ATCG00680	CDS	encodes for CP47, subunit of the photosystem II reaction center.
C148	E1	ATCG00680	CDS	encodes for CP47, subunit of the photosystem II reaction center.
C149	M1	ATCG00680;ATCG00690;ATCG00700	CDS;CDS;CDS	encodes for CP47, subunit of the photosystem II reaction center.;Encodes photosystem II 5 kD protein subunit PSII-T. This is a plastid-encoded gene (PsbTc) which also has a nuclear-encoded paralog (PsbTn).;PSII low MW protein
C150	M1	ATCG00700;ATCG00710	CDS;CDS	PSII low MW protein;Encodes a 8 kD phosphoprotein that is a component of the photosystem II oxygen evolving core. Its exact molecular function has not been determined but it may play a role in mediating electron transfer between the secondary quinone acceptors, QA and QB, associated with the acceptor side of PSII.
C151	M1	ATCG00710;ATCG00720	CDS;CDS	Encodes a 8 kD phosphoprotein that is a component of the photosystem II oxygen evolving core. Its exact molecular function has not been determined but it may play a role in mediating electron transfer between the secondary quinone acceptors, QA and QB, associated with the acceptor side of PSII.;Encodes the cytochrome b(6) subunit of the cytochrome b6f complex.
C152	I1	ATCG00720	CDS	Encodes the cytochrome b(6) subunit of the cytochrome b6f complex.
C153	IE1	ATCG00720	CDS	Encodes the cytochrome b(6) subunit of the cytochrome b6f complex.
C154	EV2	ATCG00720	CDS	Encodes the cytochrome b(6) subunit of the cytochrome b6f complex.
C155	M2	ATCG00720;ATCG00730	CDS;CDS	Encodes the cytochrome b(6) subunit of the cytochrome b6f complex.;A chloroplast gene encoding subunit IV of the cytochrome b6/f complex
C156	I1	ATCG00730	CDS	A chloroplast gene encoding subunit IV of the cytochrome b6/f complex
C157	IE1	ATCG00730	CDS	A chloroplast gene encoding subunit IV of the cytochrome b6/f complex
C158	M1	ATCG00730;ATCG00740	CDS;CDS	A chloroplast gene encoding subunit IV of the cytochrome b6/f complex;RNA polymerase alpha subunit
C159	E1	ATCG00740	CDS	RNA polymerase alpha subunit
C160	M1	ATCG00740;ATCG00750	CDS;CDS	RNA polymerase alpha subunit;30S chloroplast ribosomal protein S11
C161	M1	ATCG00750;ATCG00760	CDS;CDS	30S chloroplast ribosomal protein S11;encodes a chloroplast ribosomal protein L36, a constituent of the large subunit of the ribosomal complex
C162	VE1	ATCG00760	CDS	encodes a chloroplast ribosomal protein L36, a constituent of the large subunit of the ribosomal complex
C163	EV1	ATCG00770	CDS	chloroplast 30S ribosomal protein S8
C164	M1	ATCG00770;ATCG00780	CDS;CDS	chloroplast 30S ribosomal protein S8;encodes a chloroplast ribosomal protein L14, a constituent of the large subunit of the ribosomal complex
C165	EV1	ATCG00780	CDS	encodes a chloroplast ribosomal protein L14, a constituent of the large subunit of the ribosomal complex
C166	M2	ATCG00780;ATCG00790	CDS;CDS	encodes a chloroplast ribosomal protein L14, a constituent of the large subunit of the ribosomal complex;chloroplast gene encoding a ribosomal protein L16, which is a constituent of 50S large ribosomal subunit
C167	IE1	ATCG00790	CDS	chloroplast gene encoding a ribosomal protein L16, which is a constituent of 50S large ribosomal subunit
C168	I1	ATCG00790	CDS	chloroplast gene encoding a ribosomal protein L16, which is a constituent of 50S large ribosomal subunit
C169	EV1	ATCG00790	CDS	chloroplast gene encoding a ribosomal protein L16, which is a constituent of 50S large ribosomal subunit
C170	M1	ATCG00790;ATCG00800	CDS;CDS	chloroplast gene encoding a ribosomal protein L16, which is a constituent of 50S large ribosomal subunit;encodes a chloroplast ribosomal protein S3, a constituent of the small subunit of the ribosomal complex
C171	E1	ATCG00800	CDS	encodes a chloroplast ribosomal protein S3, a constituent of the small subunit of the ribosomal complex
C172	M1	ATCG00800;ATCG00810	CDS;CDS	encodes a chloroplast ribosomal protein S3, a constituent of the small subunit of the ribosomal complex;encodes a chloroplast ribosomal protein L22, a constituent of the large subunit of the ribosomal complex
C173	M1	ATCG00810;ATCG00820	CDS;CDS	encodes a chloroplast ribosomal protein L22, a constituent of the large subunit of the ribosomal complex;Encodes a 6.8-kDa protein of the small ribosomal subunit.
C174	M3	ATCG00820;ATCG00830	CDS;CDS	Encodes a 6.8-kDa protein of the small ribosomal subunit.;encodes a chloroplast ribosomal protein L2, a constituent of the large subunit of the ribosomal complex
C175	R4	ATCG00830;ATCG01310	CDS;CDS	encodes a chloroplast ribosomal protein L2, a constituent of the large subunit of the ribosomal complex;encodes a chloroplast ribosomal protein L2, a constituent of the large subunit of the ribosomal complex
C176	R4	ATCG00830;ATCG01310	CDS;CDS	encodes a chloroplast ribosomal protein L2, a constituent of the large subunit of the ribosomal complex;encodes a chloroplast ribosomal protein L2, a constituent of the large subunit of the ribosomal complex
C177	R4	ATCG00830;ATCG00840;ATCG01300;ATCG01310	CDS;CDS;CDS;CDS	encodes a chloroplast ribosomal protein L2, a constituent of the large subunit of the ribosomal complex;One of two chloroplast genes that encode chloroplast ribosomal protein L23, a constituent of the large subunit of the ribosomal complex;One of two chloroplast genes that encode chloroplast ribosomal protein L23, a constituent of the large subunit of the ribosomal complex;encodes a chloroplast ribosomal protein L2, a constituent of the large subunit of the ribosomal complex
C178	R4	ATCG00840;ATCG00850;ATCG01290;ATCG01300	CDS;tRNA;tRNA;CDS	One of two chloroplast genes that encode chloroplast ribosomal protein L23, a constituent of the large subunit of the ribosomal complex;tRNA-Ile;tRNA-Ile;One of two chloroplast genes that encode chloroplast ribosomal protein L23, a constituent of the large subunit of the ribosomal complex
C179	R4	ATCG00850;ATCG00860;ATCG01280	tRNA;CDS;CDS	tRNA-Ile;Encodes an unknown protein. This gene is regulated by AtSIG6 transcriptionally.;hypothetical protein
C180	R4	ATCG00860;ATCG01280	CDS;CDS	Encodes an unknown protein. This gene is regulated by AtSIG6 transcriptionally.;hypothetical protein
C181	R4	ATCG00860;ATCG01280	CDS;CDS	Encodes an unknown protein. This gene is regulated by AtSIG6 transcriptionally.;hypothetical protein
C182	R4	ATCG00870;ATCG01270;ATCG01280	CDS;CDS;CDS	hypothetical protein;hypothetical protein;hypothetical protein
C183	R4	ATCG00870;ATCG01270	CDS;CDS	hypothetical protein;hypothetical protein
C184	R4	ATCG00880	tRNA	tRNA-Leu
C185	R4	ATCG00890;ATCG01250	CDS;CDS	NADH dehydrogenase ND2;NADH dehydrogenase ND2
C186	R4	ATCG00890;ATCG01250	CDS;CDS	NADH dehydrogenase ND2;NADH dehydrogenase ND2
C187	R4	ATCG00890;ATCG01250	CDS;CDS	NADH dehydrogenase ND2;NADH dehydrogenase ND2
C188	R4	ATCG00890;ATCG01250	CDS;CDS	NADH dehydrogenase ND2;NADH dehydrogenase ND2
C189	R4	ATCG00890;ATCG01250	CDS;CDS	NADH dehydrogenase ND2;NADH dehydrogenase ND2
C190	R4	ATCG00890;ATCG01250	CDS;CDS	NADH dehydrogenase ND2;NADH dehydrogenase ND2
C191	R4	ATCG00900;ATCG01240	CDS;CDS	encodes a chloroplast ribosomal protein S7, a constituent of the small subunit of the ribosomal complex;30S chloroplast ribosomal protein S7
C192	R4	ATCG00900;ATCG00905;ATCG01230;ATCG01240	CDS;CDS;CDS;CDS	encodes a chloroplast ribosomal protein S7, a constituent of the small subunit of the ribosomal complex;chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.;chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.;30S chloroplast ribosomal protein S7
C193	R4	ATCG00905;ATCG01230	CDS;CDS	chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.;chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.
C194	R4	ATCG00905;ATCG01230	CDS;CDS	chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.;chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.
C195	R4	ATCG00905;ATCG01230	CDS;CDS	chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.;chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.
C196	R4	no_gene		
C197	R4	no_gene		
C198	R4	ATCG00980;ATCG01150	tRNA;tRNA	tRNA-Arg;tRNA-Arg
C199	R4	ATCG00990	tRNA	tRNA-Asn
C200	R4	ATCG01000;ATCG01130	CDS;CDS	hypothetical protein;hypothetical protein
C201	R4	ATCG01000;ATCG01130	CDS;CDS	hypothetical protein;hypothetical protein
C202	M3	ATCG01000;ATCG01010	CDS;CDS	hypothetical protein;Chloroplast encoded NADH dehydrogenase unit.
C203	E3	ATCG01010	CDS	Chloroplast encoded NADH dehydrogenase unit.
C204	E2	ATCG01010	CDS	Chloroplast encoded NADH dehydrogenase unit.
C205	VE2	ATCG01010	CDS	Chloroplast encoded NADH dehydrogenase unit.
C206	V1	ATCG01020	CDS	encodes a chloroplast ribosomal protein L32, a constituent of the large subunit of the ribosomal complex
C207	EV1	ATCG01020	CDS	encodes a chloroplast ribosomal protein L32, a constituent of the large subunit of the ribosomal complex
C208	V1	no_gene		
C209	M3	ATCG01030;ATCG01040	tRNA;CDS	tRNA-Leu;hypothetical protein
C210	E1	ATCG01040	CDS	hypothetical protein
C211	M1	ATCG01040;ATCG01050	CDS;CDS	hypothetical protein;Represents a plastid-encoded subunit of a NAD(P)H dehydrogenase complex. Its mRNA is edited at four positions. Translation data is not available for this gene.
C212	E1	ATCG01050	CDS	Represents a plastid-encoded subunit of a NAD(P)H dehydrogenase complex. Its mRNA is edited at four positions. Translation data is not available for this gene.
C213	E1	ATCG01050	CDS	Represents a plastid-encoded subunit of a NAD(P)H dehydrogenase complex. Its mRNA is edited at four positions. Translation data is not available for this gene.
C214	M1	ATCG01050;ATCG01060	CDS;CDS	Represents a plastid-encoded subunit of a NAD(P)H dehydrogenase complex. Its mRNA is edited at four positions. Translation data is not available for this gene.;Encodes the PsaC subunit of photosystem I.
C215	M1	ATCG01060;ATCG01070	CDS;CDS	Encodes the PsaC subunit of photosystem I.;NADH dehydrogenase ND4L
C216	EV2	ATCG01070	CDS	NADH dehydrogenase ND4L
C217	M2	ATCG01070;ATCG01080	CDS;CDS	NADH dehydrogenase ND4L;NADH dehydrogenase ND6
C218	EV1	ATCG01080	CDS	NADH dehydrogenase ND6
C219	M1	ATCG01080;ATCG01090	CDS;CDS	NADH dehydrogenase ND6;Encodes subunit of the chloroplast NAD(P)H dehydrogenase complex
C220	E1	ATCG01090	CDS	Encodes subunit of the chloroplast NAD(P)H dehydrogenase complex
